"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","10.0","-5.0","1.0","1.0","101","150.0","1786.0","a","1.0","2.5"
"0.0","11.0","-10.0","0.0","1.0","101","160.0","1086.0","l","1.0","0.5"
"3.0","12.0","0.0","1.0","1.0","102","160.0","750.0","l","0.0","3.0"
"0.0","17.0","-4.0","1.0","0.0","101","172.0","770.0","l","0.0","6.5"
"5.0","8.0","0.0","1.0","0.0","102","168.0","1075.0","a","1.0","-1.0"
"0.0","15.0","-2.0","1.0","0.0","101","168.0","717.0","a","1.0","6.5"
"0.0","12.0","-4.0","1.0","1.0","101","166.0","740.0","l","0.0","4.0"
"0.0","11.0","-6.0","1.0","1.0","101","178.0","1729.0","l","0.0","2.5"
"3.0","10.0","0.0","1.0","0.0","102","189.0","1130.0","a","1.0","2.0"
"0.0","11.0","-5.0","1.0","1.0","101","189.0","770.0","a","1.0","3.0"
"0.0","13.0","-5.0","1.0","0.0","101","200.0","692.0","a","1.0","4.0"
"0.0","13.0","-6.0","1.0","1.0","101","195.0","689.0","a","1.0","3.5"
"6.0","12.0","0.0","1.0","0.0","102","208.0","720.0","l","0.0","0.0"
"7.0","10.0","0.0","0.0","1.0","102","208.0","1226.0","l","1.0","-2.0"
"0.0","13.0","-2.0","1.0","1.0","101","215.0","972.0","l","0.0","5.5"
"0.0","10.0","-3.0","1.0","1.0","101","228.0","812.0","l","0.0","3.5"
"0.0","10.0","-6.0","1.0","1.0","101","238.0","1065.0","a","1.0","2.0"
"0.0","15.0","-4.0","1.0","0.0","101","248.0","773.0","a","1.0","5.5"
"3.0","10.0","0.0","1.0","0.0","102","244.0","1183.0","a","1.0","2.0"
"0.0","12.0","-2.0","1.0","0.0","101","244.0","668.0","a","1.0","5.0"
"0.0","9.0","-3.0","1.0","1.0","101","242.0","705.0","l","0.0","3.0"
"0.0","17.0","-4.0","1.0","1.0","101","251.0","568.0","a","1.0","6.5"
"7.0","12.0","0.0","0.0","1.0","102","268.0","1304.0","a","0.0","-1.0"
"6.0","6.0","0.0","0.0","1.0","102","275.0","1404.0","l","1.0","-3.0"
"3.0","12.0","0.0","1.0","1.0","102","281.0","959.0","a","1.0","3.0"
"3.0","6.0","0.0","0.0","1.0","102","293.0","1642.0","l","1.0","0.0"
"4.0","12.0","0.0","1.0","0.0","102","296.0","769.0","l","0.0","2.0"
"4.0","10.0","0.0","1.0","0.0","102","296.0","969.0","a","1.0","1.0"
"4.0","6.0","0.0","0.0","0.0","102","296.0","866.0","l","1.0","-1.0"
"0.0","10.0","-8.0","0.0","1.0","101","300.0","1022.0","l","1.0","1.0"
"0.0","13.0","-4.0","1.0","0.0","101","300.0","892.0","l","0.0","4.5"
"0.0","10.0","-10.0","0.0","1.0","101","296.0","948.0","a","0.0","0.0"
"7.0","14.0","0.0","1.0","1.0","102","296.0","1912.0","l","0.0","0.0"
"0.0","12.0","-5.0","1.0","1.0","101","310.0","1550.0","a","1.0","3.5"
"0.0","11.0","-4.0","1.0","1.0","101","322.0","850.0","l","0.0","3.5"
"7.0","8.0","0.0","0.0","1.0","102","333.0","895.0","l","1.0","-3.0"
"0.0","9.0","-10.0","0.0","0.0","101","340.0","934.0","l","1.0","-0.5"
"0.0","10.0","-8.0","0.0","0.0","101","340.0","909.0","l","1.0","1.0"
"3.0","14.0","0.0","1.0","0.0","102","340.0","1004.0","a","1.0","4.0"
"0.0","17.0","-2.0","1.0","0.0","101","340.0","861.0","l","0.0","7.5"
"6.0","6.0","0.0","0.0","1.0","102","338.0","831.0","a","0.0","-3.0"
"0.0","11.0","-3.0","1.0","1.0","101","344.0","822.0","l","0.0","4.0"
"7.0","6.0","0.0","0.0","1.0","102","355.0","815.0","a","0.0","-4.0"
"0.0","15.0","-5.0","1.0","0.0","101","362.0","851.0","a","1.0","5.0"
"5.0","10.0","0.0","1.0","1.0","102","357.0","1506.0","a","1.0","0.0"
"0.0","9.0","-10.0","0.0","0.0","101","367.0","738.0","l","1.0","-0.5"
"3.0","8.0","0.0","1.0","0.0","102","367.0","902.0","l","0.0","1.0"
"0.0","12.0","-8.0","0.0","0.0","101","367.0","2052.0","a","0.0","2.0"
"0.0","12.0","-5.0","1.0","1.0","101","367.0","871.0","l","0.0","3.5"
"6.0","8.0","0.0","0.0","1.0","102","379.0","943.0","a","0.0","-2.0"
"0.0","9.0","-6.0","0.0","1.0","101","385.0","1293.0","a","0.0","1.5"
"0.0","15.0","-8.0","0.0","0.0","101","385.0","1433.0","a","0.0","3.5"
"6.0","8.0","0.0","0.0","1.0","102","385.0","948.0","l","1.0","-2.0"
"4.0","12.0","0.0","1.0","1.0","102","391.0","834.0","l","0.0","2.0"
"0.0","11.0","-8.0","0.0","0.0","101","403.0","854.0","l","1.0","1.5"
"0.0","13.0","-8.0","0.0","0.0","101","403.0","973.0","a","0.0","2.5"
"0.0","10.0","-6.0","0.0","0.0","101","403.0","887.0","l","1.0","2.0"
"0.0","12.0","-3.0","1.0","1.0","101","403.0","761.0","a","1.0","4.5"
"0.0","13.0","-2.0","1.0","0.0","101","415.0","875.0","l","0.0","5.5"
"0.0","15.0","-4.0","1.0","1.0","101","413.0","840.0","l","0.0","5.5"
"0.0","12.0","-8.0","0.0","1.0","101","428.0","861.0","a","0.0","2.0"
"0.0","17.0","-10.0","0.0","1.0","101","428.0","1086.0","l","1.0","3.5"
"0.0","9.0","-4.0","1.0","0.0","101","428.0","781.0","l","0.0","2.5"
"0.0","17.0","-3.0","1.0","1.0","101","424.0","663.0","a","1.0","7.0"
"0.0","17.0","-6.0","1.0","0.0","101","441.0","761.0","l","0.0","5.5"
"5.0","14.0","0.0","1.0","0.0","102","435.0","1069.0","l","0.0","2.0"
"0.0","15.0","-2.0","1.0","0.0","101","435.0","604.0","a","1.0","6.5"
"0.0","13.0","-5.0","1.0","0.0","101","433.0","697.0","l","0.0","4.0"
"6.0","14.0","0.0","1.0","0.0","102","428.0","818.0","l","0.0","1.0"
"7.0","12.0","0.0","0.0","0.0","102","428.0","950.0","a","0.0","-1.0"
"0.0","11.0","-8.0","0.0","1.0","101","435.0","984.0","l","1.0","1.5"
"0.0","12.0","-6.0","1.0","1.0","101","435.0","1067.0","a","1.0","3.0"
"4.0","10.0","0.0","1.0","0.0","102","447.0","1569.0","a","1.0","1.0"
"5.0","14.0","0.0","1.0","1.0","102","447.0","802.0","a","1.0","2.0"
"0.0","11.0","-5.0","1.0","0.0","101","461.0","753.0","a","1.0","3.0"
"7.0","10.0","0.0","0.0","1.0","102","456.0","1026.0","l","1.0","-2.0"
"0.0","17.0","-6.0","1.0","0.0","101","463.0","700.0","a","1.0","5.5"
"0.0","9.0","-4.0","0.0","0.0","101","457.0","880.0","l","1.0","2.5"
"0.0","13.0","-8.0","0.0","1.0","101","457.0","828.0","l","1.0","2.5"
"0.0","12.0","-4.0","1.0","0.0","101","457.0","865.0","l","0.0","4.0"
"0.0","15.0","-6.0","1.0","0.0","101","453.0","868.0","l","0.0","4.5"
"5.0","6.0","0.0","0.0","0.0","102","447.0","739.0","a","0.0","-2.0"
"0.0","11.0","-3.0","1.0","0.0","101","452.0","726.0","l","0.0","4.0"
"0.0","13.0","-10.0","0.0","0.0","101","449.0","763.0","l","1.0","1.5"
"5.0","8.0","0.0","0.0","1.0","102","449.0","821.0","a","0.0","-1.0"
"7.0","14.0","0.0","1.0","1.0","102","454.0","761.0","l","0.0","0.0"
"0.0","11.0","-2.0","1.0","1.0","101","468.0","655.0","a","1.0","4.5"
"0.0","13.0","-10.0","0.0","0.0","101","479.0","834.0","a","0.0","1.5"
"5.0","12.0","0.0","1.0","1.0","102","479.0","708.0","l","0.0","1.0"
"0.0","15.0","-3.0","1.0","0.0","101","491.0","1115.0","l","0.0","6.0"
"0.0","10.0","-5.0","0.0","1.0","101","488.0","1219.0","a","0.0","2.5"
"0.0","15.0","-10.0","0.0","0.0","101","488.0","803.0","a","0.0","2.5"
"4.0","8.0","0.0","0.0","0.0","102","488.0","1835.0","l","1.0","0.0"
"0.0","11.0","-2.0","1.0","1.0","101","492.0","767.0","a","1.0","4.5"
"0.0","10.0","-2.0","1.0","0.0","101","503.0","734.0","a","1.0","4.0"
"0.0","9.0","-5.0","0.0","1.0","101","501.0","845.0","l","1.0","2.0"
"0.0","9.0","-2.0","1.0","1.0","101","501.0","827.0","l","0.0","3.5"
"0.0","11.0","-10.0","0.0","0.0","101","510.0","982.0","a","0.0","0.5"
"0.0","17.0","-5.0","1.0","1.0","101","510.0","826.0","l","0.0","6.0"
"0.0","10.0","-3.0","1.0","0.0","101","527.0","691.0","l","0.0","3.5"
"0.0","9.0","-8.0","0.0","0.0","101","524.0","884.0","a","0.0","0.5"
"0.0","17.0","-2.0","1.0","1.0","101","524.0","668.0","l","0.0","7.5"
"0.0","11.0","-6.0","1.0","1.0","101","541.0","695.0","l","0.0","2.5"
"0.0","13.0","-4.0","1.0","0.0","101","552.0","732.0","l","0.0","4.5"
"0.0","17.0","-8.0","1.0","0.0","101","548.0","823.0","l","0.0","4.5"
"0.0","10.0","-4.0","1.0","1.0","101","540.0","582.0","l","0.0","3.0"
"0.0","12.0","-6.0","1.0","0.0","101","550.0","801.0","a","1.0","3.0"
"0.0","15.0","-6.0","1.0","1.0","101","544.0","721.0","l","0.0","4.5"
"0.0","12.0","-3.0","1.0","0.0","101","559.0","693.0","a","1.0","4.5"
"0.0","15.0","-8.0","1.0","0.0","101","556.0","826.0","l","0.0","3.5"
"3.0","14.0","0.0","1.0","0.0","102","548.0","1034.0","l","0.0","4.0"
"0.0","9.0","-5.0","1.0","1.0","101","548.0","815.0","a","1.0","2.0"
"6.0","12.0","0.0","1.0","0.0","102","557.0","1056.0","a","1.0","0.0"
"4.0","8.0","0.0","0.0","0.0","102","557.0","1130.0","l","1.0","0.0"
"0.0","10.0","-4.0","1.0","0.0","101","561.0","728.0","a","1.0","3.0"
"0.0","9.0","-2.0","1.0","0.0","101","557.0","872.0","l","0.0","3.5"
"6.0","10.0","0.0","1.0","1.0","102","555.0","938.0","a","1.0","-1.0"
"0.0","12.0","-10.0","0.0","0.0","101","565.0","796.0","a","0.0","1.0"
"5.0","6.0","0.0","0.0","1.0","102","565.0","1006.0","l","1.0","-2.0"
"3.0","6.0","0.0","1.0","0.0","102","570.0","1415.0","a","1.0","0.0"
"4.0","14.0","0.0","1.0","0.0","102","570.0","910.0","a","1.0","3.0"
"0.0","9.0","-6.0","0.0","0.0","101","570.0","815.0","l","1.0","1.5"
"0.0","17.0","-8.0","1.0","0.0","101","560.0","1602.0","l","0.0","4.5"
"0.0","9.0","-3.0","1.0","1.0","101","552.0","1099.0","a","1.0","3.0"
"0.0","12.0","-2.0","1.0","0.0","101","561.0","871.0","l","0.0","5.0"
"7.0","6.0","0.0","0.0","1.0","102","559.0","1120.0","a","0.0","-4.0"
"0.0","11.0","-4.0","1.0","0.0","101","566.0","1336.0","l","0.0","3.5"
"0.0","9.0","-8.0","0.0","0.0","101","562.0","1473.0","a","0.0","0.5"
"0.0","15.0","-5.0","1.0","1.0","101","562.0","732.0","l","0.0","5.0"
"5.0","12.0","0.0","1.0","0.0","102","577.0","1736.0","a","1.0","1.0"
"0.0","12.0","-10.0","0.0","1.0","101","577.0","730.0","a","0.0","1.0"
"6.0","14.0","0.0","1.0","0.0","102","577.0","780.0","a","1.0","1.0"
"0.0","13.0","-3.0","1.0","0.0","101","577.0","688.0","a","1.0","5.0"
"0.0","17.0","-3.0","1.0","0.0","101","574.0","658.0","a","1.0","7.0"
"0.0","10.0","-10.0","0.0","1.0","101","571.0","751.0","l","1.0","0.0"
"7.0","8.0","0.0","0.0","1.0","102","571.0","1478.0","a","0.0","-3.0"
"4.0","6.0","0.0","0.0","1.0","102","578.0","853.0","l","1.0","-1.0"
"0.0","15.0","-10.0","0.0","0.0","101","582.0","1269.0","a","0.0","2.5"
"5.0","10.0","0.0","0.0","0.0","102","582.0","1464.0","l","1.0","0.0"
"0.0","15.0","-3.0","1.0","1.0","101","587.0","612.0","l","0.0","6.0"
"0.0","13.0","-3.0","1.0","0.0","101","602.0","3287.0","a","1.0","5.0"
