"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","13.0","-5.0","1.0","1.0","101","150.0","2416.0","a","1.0","4.0"
"3.0","8.0","0.0","1.0","1.0","102","163.0","1557.0","a","1.0","1.0"
"0.0","13.0","-6.0","1.0","0.0","101","171.0","1686.0","l","0.0","3.5"
"0.0","13.0","-10.0","0.0","0.0","101","165.0","1501.0","a","0.0","1.5"
"0.0","13.0","-10.0","0.0","1.0","101","165.0","1486.0","l","1.0","1.5"
"4.0","14.0","0.0","1.0","1.0","102","165.0","868.0","a","1.0","3.0"
"0.0","17.0","-4.0","1.0","0.0","101","179.0","1262.0","l","0.0","6.5"
"0.0","12.0","-6.0","0.0","1.0","101","175.0","1516.0","l","1.0","3.0"
"0.0","12.0","-8.0","1.0","0.0","101","175.0","1548.0","l","0.0","2.0"
"0.0","13.0","-3.0","1.0","0.0","101","167.0","1213.0","l","0.0","5.0"
"3.0","6.0","0.0","1.0","0.0","102","164.0","1117.0","l","0.0","0.0"
"0.0","17.0","-10.0","1.0","0.0","101","164.0","814.0","a","1.0","3.5"
"0.0","13.0","-8.0","1.0","0.0","101","154.0","764.0","l","0.0","2.5"
"0.0","10.0","-8.0","1.0","1.0","101","146.0","636.0","l","0.0","1.0"
"0.0","10.0","-2.0","1.0","0.0","101","156.0","797.0","a","1.0","4.0"
"0.0","12.0","-4.0","1.0","1.0","101","154.0","661.0","a","1.0","4.0"
"0.0","11.0","-5.0","1.0","1.0","101","166.0","1523.0","l","0.0","3.0"
"6.0","8.0","0.0","1.0","1.0","102","177.0","1758.0","l","0.0","-2.0"
"0.0","9.0","-4.0","1.0","1.0","101","185.0","1444.0","l","0.0","2.5"
"0.0","9.0","-6.0","1.0","0.0","101","194.0","1622.0","a","1.0","1.5"
"7.0","8.0","0.0","0.0","0.0","102","188.0","876.0","a","0.0","-3.0"
"4.0","10.0","0.0","1.0","1.0","102","195.0","1402.0","a","1.0","1.0"
"0.0","10.0","-6.0","1.0","1.0","101","205.0","1240.0","l","0.0","2.0"
"6.0","14.0","0.0","1.0","0.0","102","215.0","1189.0","l","0.0","1.0"
"0.0","9.0","-8.0","0.0","0.0","101","215.0","1949.0","l","1.0","0.5"
"0.0","13.0","-2.0","1.0","1.0","101","215.0","1077.0","l","0.0","5.5"
"0.0","10.0","-3.0","1.0","0.0","101","228.0","892.0","l","0.0","3.5"
"0.0","13.0","-4.0","1.0","1.0","101","225.0","773.0","l","0.0","4.5"
"0.0","10.0","-8.0","0.0","1.0","101","238.0","1581.0","a","0.0","1.0"
"0.0","10.0","-3.0","1.0","0.0","101","238.0","1068.0","l","0.0","3.5"
"0.0","9.0","-5.0","1.0","0.0","101","235.0","1149.0","l","0.0","2.0"
"0.0","10.0","-10.0","0.0","0.0","101","230.0","1173.0","l","1.0","0.0"
"0.0","15.0","-4.0","1.0","1.0","101","230.0","1197.0","a","1.0","5.5"
"0.0","15.0","-6.0","1.0","0.0","101","245.0","1341.0","l","0.0","4.5"
"0.0","10.0","-2.0","1.0","1.0","101","239.0","766.0","l","0.0","4.0"
