"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","14.0","-3.0","1.0","0.0","101","150.0","1383.0","l","0.0","5.5"
"0.0","18.0","-8.0","1.0","0.0","101","147.0","692.0","l","0.0","5.0"
"4.0","10.0","0.0","1.0","1.0","102","139.0","987.0","l","0.0","1.0"
"0.0","10.0","-8.0","1.0","1.0","101","149.0","1361.0","l","0.0","1.0"
"0.0","16.0","-2.0","1.0","1.0","101","159.0","1051.0","a","1.0","7.0"
"0.0","13.0","-4.0","1.0","1.0","101","175.0","999.0","a","1.0","4.5"
"0.0","12.0","-8.0","0.0","0.0","101","188.0","1164.0","l","1.0","2.0"
"0.0","12.0","-8.0","0.0","1.0","101","188.0","1796.0","a","0.0","2.0"
"5.0","12.0","0.0","1.0","0.0","102","188.0","1180.0","l","0.0","1.0"
"0.0","12.0","-2.0","1.0","0.0","101","188.0","1373.0","l","0.0","5.0"
"0.0","13.0","-10.0","0.0","0.0","101","186.0","1071.0","a","0.0","1.5"
"4.0","18.0","0.0","1.0","0.0","102","186.0","817.0","l","0.0","5.0"
"6.0","14.0","0.0","0.0","0.0","102","186.0","1147.0","l","1.0","1.0"
"0.0","13.0","-5.0","0.0","0.0","101","192.0","1058.0","l","1.0","4.0"
"0.0","11.0","-10.0","0.0","0.0","101","192.0","708.0","l","1.0","0.5"
"5.0","10.0","0.0","1.0","0.0","102","192.0","1075.0","l","0.0","0.0"
"0.0","10.0","-5.0","0.0","0.0","101","192.0","1565.0","a","0.0","2.5"
"4.0","14.0","0.0","1.0","0.0","102","192.0","891.0","a","1.0","3.0"
"0.0","18.0","-2.0","1.0","0.0","101","192.0","1556.0","l","0.0","8.0"
"0.0","14.0","-10.0","0.0","0.0","101","190.0","859.0","a","0.0","2.0"
"0.0","13.0","-5.0","0.0","0.0","101","190.0","2089.0","l","1.0","4.0"
"7.0","12.0","0.0","1.0","1.0","102","190.0","809.0","l","0.0","-1.0"
"0.0","16.0","-3.0","1.0","0.0","101","202.0","806.0","l","0.0","6.5"
"0.0","14.0","-8.0","0.0","1.0","101","199.0","1173.0","l","1.0","3.0"
"0.0","13.0","-2.0","0.0","1.0","101","199.0","780.0","l","1.0","5.5"
"0.0","13.0","-6.0","0.0","0.0","101","199.0","718.0","l","1.0","3.5"
"0.0","14.0","-10.0","0.0","1.0","101","199.0","760.0","l","1.0","2.0"
"6.0","16.0","0.0","1.0","0.0","102","199.0","740.0","a","1.0","2.0"
"0.0","10.0","-2.0","1.0","1.0","101","199.0","1311.0","l","0.0","4.0"
"0.0","12.0","-10.0","0.0","1.0","101","209.0","1100.0","l","1.0","1.0"
"4.0","16.0","0.0","1.0","1.0","102","209.0","758.0","l","0.0","4.0"
"0.0","14.0","-8.0","0.0","0.0","101","225.0","735.0","l","1.0","3.0"
"0.0","12.0","-5.0","0.0","0.0","101","225.0","948.0","l","1.0","3.5"
"0.0","11.0","-5.0","0.0","1.0","101","225.0","1067.0","l","1.0","3.0"
"0.0","16.0","-10.0","0.0","1.0","101","225.0","1274.0","a","0.0","3.0"
"0.0","16.0","-3.0","1.0","0.0","101","225.0","1001.0","a","1.0","6.5"
"0.0","11.0","-8.0","0.0","1.0","101","222.0","898.0","l","1.0","1.5"
"0.0","12.0","-4.0","1.0","0.0","101","222.0","1286.0","l","0.0","4.0"
"0.0","13.0","-4.0","1.0","0.0","101","218.0","1720.0","a","1.0","4.5"
"0.0","18.0","-4.0","1.0","1.0","101","214.0","1483.0","l","0.0","7.0"
"0.0","11.0","-4.0","1.0","0.0","101","232.0","1165.0","a","1.0","3.5"
"0.0","10.0","-10.0","0.0","0.0","101","228.0","1005.0","a","0.0","0.0"
"3.0","12.0","0.0","1.0","1.0","102","228.0","1383.0","l","0.0","3.0"
"6.0","16.0","0.0","1.0","0.0","102","240.0","900.0","l","0.0","2.0"
"0.0","14.0","-6.0","0.0","0.0","101","240.0","1496.0","l","1.0","4.0"
"3.0","18.0","0.0","1.0","0.0","102","240.0","772.0","a","1.0","6.0"
"5.0","10.0","0.0","0.0","1.0","102","240.0","1126.0","l","1.0","0.0"
"5.0","14.0","0.0","0.0","0.0","102","245.0","826.0","a","0.0","2.0"
"0.0","13.0","-3.0","1.0","1.0","101","250.0","1151.0","a","1.0","5.0"
"0.0","10.0","-6.0","0.0","1.0","101","263.0","1286.0","a","0.0","2.0"
"0.0","14.0","-6.0","0.0","1.0","101","263.0","959.0","a","0.0","4.0"
"0.0","16.0","-5.0","0.0","1.0","101","263.0","1029.0","l","1.0","5.5"
"0.0","11.0","-2.0","1.0","1.0","101","263.0","954.0","a","1.0","4.5"
"0.0","16.0","-8.0","0.0","1.0","101","274.0","908.0","a","0.0","4.0"
"0.0","14.0","-5.0","0.0","0.0","101","274.0","968.0","l","1.0","4.5"
"7.0","16.0","0.0","1.0","0.0","102","274.0","922.0","l","0.0","1.0"
"0.0","13.0","-3.0","1.0","1.0","101","274.0","984.0","l","0.0","5.0"
"0.0","10.0","-5.0","0.0","0.0","101","287.0","1134.0","l","1.0","2.5"
"0.0","18.0","-6.0","0.0","0.0","101","287.0","962.0","l","1.0","6.0"
"0.0","10.0","-6.0","0.0","1.0","101","287.0","949.0","a","0.0","2.0"
"0.0","10.0","-4.0","1.0","1.0","101","287.0","2024.0","a","1.0","3.0"
"6.0","12.0","0.0","0.0","0.0","102","297.0","1394.0","l","1.0","0.0"
"3.0","14.0","0.0","1.0","0.0","102","303.0","1059.0","a","1.0","4.0"
"5.0","18.0","0.0","1.0","1.0","102","303.0","586.0","l","0.0","4.0"
"3.0","14.0","0.0","1.0","0.0","102","321.0","916.0","a","1.0","4.0"
"0.0","18.0","-2.0","1.0","1.0","101","321.0","920.0","l","0.0","8.0"
"0.0","12.0","-4.0","1.0","0.0","101","339.0","792.0","l","0.0","4.0"
"3.0","10.0","0.0","1.0","1.0","102","335.0","533.0","a","1.0","2.0"
"5.0","14.0","0.0","0.0","0.0","102","345.0","1143.0","l","1.0","2.0"
"0.0","18.0","-4.0","1.0","1.0","101","350.0","1112.0","a","1.0","7.0"
"6.0","18.0","0.0","0.0","1.0","102","368.0","1202.0","a","0.0","3.0"
"0.0","10.0","-4.0","1.0","0.0","101","374.0","1323.0","l","0.0","3.0"
"3.0","12.0","0.0","0.0","1.0","102","370.0","1344.0","a","0.0","3.0"
"0.0","18.0","-5.0","0.0","0.0","101","373.0","1069.0","l","1.0","6.5"
"5.0","16.0","0.0","1.0","1.0","102","373.0","834.0","a","1.0","3.0"
"0.0","13.0","-2.0","1.0","1.0","101","389.0","1198.0","l","0.0","5.5"
"3.0","18.0","0.0","1.0","0.0","102","402.0","1170.0","a","1.0","6.0"
"0.0","18.0","-3.0","1.0","1.0","101","402.0","1800.0","a","1.0","7.5"
"0.0","12.0","-6.0","0.0","0.0","101","420.0","1185.0","a","0.0","3.0"
"7.0","12.0","0.0","0.0","1.0","102","420.0","1067.0","l","1.0","-1.0"
"0.0","14.0","-2.0","0.0","0.0","101","427.0","1330.0","a","0.0","6.0"
"4.0","16.0","0.0","0.0","1.0","102","427.0","1096.0","a","0.0","4.0"
"0.0","13.0","-6.0","0.0","0.0","101","431.0","1037.0","a","0.0","3.5"
"6.0","10.0","0.0","0.0","0.0","102","431.0","990.0","a","0.0","-1.0"
"0.0","11.0","-4.0","1.0","1.0","101","437.0","1916.0","a","1.0","3.5"
"7.0","16.0","0.0","0.0","1.0","102","448.0","1541.0","l","1.0","1.0"
"0.0","12.0","-5.0","0.0","0.0","101","455.0","1000.0","a","0.0","3.5"
"0.0","16.0","-4.0","1.0","0.0","101","455.0","1219.0","l","0.0","6.0"
"0.0","18.0","-10.0","0.0","0.0","101","451.0","979.0","l","1.0","4.0"
