"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","15.0","-6.0","1.0","1.0","101","150.0","3088.0","l","0.0","4.5"
"0.0","13.0","-10.0","0.0","1.0","101","165.0","1998.0","l","1.0","1.5"
"4.0","12.0","0.0","1.0","0.0","102","165.0","1111.0","a","1.0","2.0"
"4.0","12.0","0.0","1.0","0.0","102","165.0","1171.0","l","0.0","2.0"
"0.0","14.0","-2.0","0.0","1.0","101","165.0","1062.0","a","0.0","6.0"
"5.0","18.0","0.0","0.0","1.0","102","165.0","747.0","a","0.0","4.0"
"6.0","14.0","0.0","1.0","0.0","102","170.0","1133.0","l","0.0","1.0"
"0.0","12.0","-6.0","0.0","1.0","101","170.0","1039.0","l","1.0","3.0"
"0.0","15.0","-3.0","1.0","0.0","101","170.0","1111.0","a","1.0","6.0"
"0.0","13.0","-8.0","0.0","1.0","101","167.0","1083.0","a","0.0","2.5"
"7.0","10.0","0.0","0.0","1.0","102","167.0","734.0","l","1.0","-2.0"
"0.0","13.0","-6.0","0.0","1.0","101","174.0","1007.0","l","1.0","3.5"
"7.0","18.0","0.0","1.0","1.0","102","174.0","1097.0","a","1.0","2.0"
"0.0","15.0","-3.0","1.0","0.0","101","192.0","1296.0","a","1.0","6.0"
"5.0","16.0","0.0","0.0","0.0","102","189.0","822.0","l","1.0","3.0"
"0.0","17.0","-2.0","0.0","0.0","101","194.0","1994.0","a","0.0","7.5"
"6.0","18.0","0.0","1.0","1.0","102","194.0","957.0","l","0.0","3.0"
"0.0","15.0","-5.0","1.0","1.0","101","212.0","1959.0","l","0.0","5.0"
"0.0","12.0","-4.0","1.0","1.0","101","227.0","1330.0","l","0.0","4.0"
"0.0","13.0","-10.0","0.0","0.0","101","239.0","1503.0","l","1.0","1.5"
"3.0","16.0","0.0","1.0","1.0","102","239.0","1808.0","l","0.0","5.0"
"4.0","14.0","0.0","1.0","0.0","102","255.0","1677.0","l","0.0","3.0"
"0.0","12.0","-4.0","0.0","0.0","101","255.0","1062.0","l","1.0","4.0"
"7.0","18.0","0.0","1.0","0.0","102","255.0","855.0","l","0.0","2.0"
"3.0","18.0","0.0","1.0","0.0","102","255.0","1254.0","a","1.0","6.0"
"0.0","14.0","-5.0","0.0","0.0","101","255.0","876.0","l","1.0","4.5"
"4.0","10.0","0.0","1.0","0.0","102","255.0","858.0","l","0.0","1.0"
"7.0","14.0","0.0","0.0","0.0","102","255.0","717.0","l","1.0","0.0"
"0.0","13.0","-3.0","0.0","1.0","101","262.0","947.0","a","0.0","5.0"
"0.0","19.0","-10.0","0.0","0.0","101","262.0","1014.0","l","1.0","4.5"
"0.0","12.0","-6.0","0.0","0.0","101","262.0","792.0","l","1.0","3.0"
"0.0","11.0","-2.0","0.0","0.0","101","262.0","1010.0","l","1.0","4.5"
"6.0","10.0","0.0","1.0","1.0","102","262.0","775.0","l","0.0","-1.0"
"0.0","19.0","-10.0","0.0","1.0","101","272.0","1163.0","a","0.0","4.5"
"0.0","19.0","-5.0","1.0","0.0","101","272.0","1071.0","a","1.0","7.0"
"3.0","10.0","0.0","1.0","1.0","102","267.0","838.0","l","0.0","2.0"
"0.0","15.0","-8.0","0.0","0.0","101","277.0","1495.0","a","0.0","3.5"
"0.0","11.0","-4.0","0.0","1.0","101","277.0","1097.0","a","0.0","3.5"
"3.0","18.0","0.0","1.0","0.0","102","277.0","863.0","a","1.0","6.0"
"0.0","19.0","-8.0","0.0","0.0","101","277.0","777.0","a","0.0","5.5"
"3.0","16.0","0.0","1.0","0.0","102","277.0","916.0","l","0.0","5.0"
"0.0","14.0","-6.0","0.0","0.0","101","277.0","839.0","a","0.0","4.0"
"0.0","13.0","-3.0","0.0","1.0","101","277.0","749.0","l","1.0","5.0"
"0.0","14.0","-3.0","1.0","0.0","101","277.0","935.0","l","0.0","5.5"
"0.0","17.0","-6.0","0.0","1.0","101","274.0","620.0","l","1.0","5.5"
"5.0","14.0","0.0","1.0","1.0","102","274.0","780.0","l","0.0","2.0"
"3.0","14.0","0.0","0.0","0.0","102","288.0","658.0","l","1.0","4.0"
"7.0","12.0","0.0","0.0","1.0","102","291.0","1900.0","a","0.0","-1.0"
"4.0","18.0","0.0","1.0","1.0","102","298.0","977.0","a","1.0","5.0"
"0.0","17.0","-8.0","0.0","0.0","101","316.0","875.0","l","1.0","4.5"
"0.0","12.0","-8.0","0.0","1.0","101","316.0","2382.0","a","0.0","2.0"
"0.0","15.0","-10.0","0.0","1.0","101","316.0","981.0","l","1.0","2.5"
"0.0","19.0","-4.0","1.0","1.0","101","316.0","1235.0","l","0.0","7.5"
"0.0","17.0","-10.0","0.0","0.0","101","335.0","1009.0","a","0.0","3.5"
"4.0","14.0","0.0","1.0","1.0","102","335.0","1141.0","l","0.0","3.0"
"0.0","13.0","-5.0","0.0","1.0","101","349.0","918.0","l","1.0","4.0"
"5.0","12.0","0.0","0.0","0.0","102","349.0","959.0","a","0.0","1.0"
"0.0","14.0","-8.0","0.0","0.0","101","354.0","837.0","l","1.0","3.0"
"0.0","11.0","-6.0","0.0","1.0","101","354.0","1178.0","a","0.0","2.5"
"0.0","11.0","-6.0","0.0","1.0","101","354.0","1102.0","l","1.0","2.5"
"0.0","15.0","-4.0","0.0","1.0","101","354.0","1228.0","l","1.0","5.5"
"0.0","13.0","-5.0","0.0","1.0","101","354.0","1343.0","l","1.0","4.0"
"0.0","12.0","-2.0","1.0","0.0","101","354.0","765.0","a","1.0","5.0"
"0.0","12.0","-10.0","0.0","0.0","101","352.0","834.0","l","1.0","1.0"
"4.0","16.0","0.0","1.0","1.0","102","352.0","921.0","l","0.0","4.0"
"0.0","11.0","-4.0","0.0","1.0","101","368.0","1030.0","l","1.0","3.5"
"7.0","14.0","0.0","1.0","0.0","102","368.0","785.0","l","0.0","0.0"
"0.0","19.0","-2.0","1.0","0.0","101","368.0","838.0","l","0.0","8.5"
"0.0","14.0","-5.0","1.0","1.0","101","366.0","798.0","l","0.0","4.5"
"0.0","12.0","-5.0","1.0","0.0","101","380.0","815.0","l","0.0","3.5"
"7.0","12.0","0.0","1.0","0.0","102","375.0","799.0","a","1.0","-1.0"
"5.0","18.0","0.0","1.0","1.0","102","375.0","802.0","l","0.0","4.0"
"6.0","16.0","0.0","0.0","0.0","102","393.0","968.0","a","0.0","2.0"
"0.0","15.0","-4.0","0.0","1.0","101","399.0","1289.0","a","0.0","5.5"
"0.0","19.0","-8.0","0.0","0.0","101","399.0","1503.0","l","1.0","5.5"
"4.0","18.0","0.0","1.0","1.0","102","399.0","791.0","a","1.0","5.0"
"0.0","15.0","-6.0","0.0","1.0","101","417.0","1182.0","l","1.0","4.5"
"5.0","10.0","0.0","1.0","1.0","102","417.0","1018.0","l","0.0","0.0"
"0.0","13.0","-8.0","0.0","1.0","101","427.0","1054.0","a","0.0","2.5"
"0.0","12.0","-2.0","1.0","1.0","101","427.0","912.0","l","0.0","5.0"
"0.0","11.0","-2.0","1.0","0.0","101","439.0","957.0","a","1.0","4.5"
"0.0","17.0","-3.0","0.0","1.0","101","437.0","757.0","l","1.0","7.0"
"4.0","16.0","0.0","1.0","1.0","102","437.0","725.0","l","0.0","4.0"
"6.0","14.0","0.0","1.0","0.0","102","453.0","955.0","a","1.0","1.0"
"0.0","15.0","-5.0","0.0","0.0","101","453.0","1036.0","a","0.0","5.0"
"6.0","18.0","0.0","1.0","0.0","102","453.0","743.0","a","1.0","3.0"
"0.0","14.0","-4.0","0.0","1.0","101","453.0","883.0","l","1.0","5.0"
"0.0","11.0","-8.0","0.0","1.0","101","453.0","995.0","l","1.0","1.5"
"6.0","12.0","0.0","1.0","1.0","102","453.0","853.0","l","0.0","0.0"
"0.0","14.0","-4.0","0.0","1.0","101","465.0","734.0","l","1.0","5.0"
"0.0","13.0","-6.0","0.0","0.0","101","465.0","944.0","l","1.0","3.5"
"0.0","17.0","-5.0","1.0","0.0","101","465.0","1082.0","l","0.0","6.0"
"0.0","17.0","-6.0","0.0","1.0","101","460.0","1006.0","a","0.0","5.5"
"7.0","10.0","0.0","1.0","0.0","102","460.0","732.0","l","0.0","-2.0"
"0.0","15.0","-2.0","1.0","1.0","101","460.0","897.0","l","0.0","6.5"
"0.0","17.0","-5.0","0.0","1.0","101","475.0","963.0","a","0.0","6.0"
"6.0","16.0","0.0","1.0","0.0","102","475.0","1033.0","a","1.0","2.0"
"4.0","10.0","0.0","1.0","1.0","102","475.0","707.0","l","0.0","1.0"
"0.0","12.0","-3.0","1.0","1.0","101","485.0","980.0","l","0.0","4.5"
"0.0","15.0","-8.0","0.0","0.0","101","497.0","1588.0","l","1.0","3.5"
"3.0","10.0","0.0","1.0","1.0","102","497.0","795.0","l","0.0","2.0"
"0.0","13.0","-2.0","1.0","1.0","101","507.0","1265.0","a","1.0","5.5"
"0.0","12.0","-3.0","1.0","1.0","101","520.0","761.0","l","0.0","4.5"
"3.0","14.0","0.0","1.0","0.0","102","532.0","905.0","l","0.0","4.0"
"5.0","16.0","0.0","1.0","1.0","102","532.0","803.0","a","1.0","3.0"
"5.0","12.0","0.0","0.0","1.0","102","548.0","729.0","a","0.0","1.0"
"0.0","17.0","-2.0","1.0","0.0","101","553.0","935.0","a","1.0","7.5"
"5.0","14.0","0.0","1.0","1.0","102","551.0","755.0","a","1.0","2.0"
"0.0","11.0","-10.0","0.0","0.0","101","565.0","879.0","l","1.0","0.5"
"0.0","14.0","-8.0","0.0","0.0","101","565.0","1179.0","l","1.0","3.0"
"0.0","19.0","-6.0","1.0","1.0","101","565.0","1081.0","l","0.0","6.5"
"0.0","11.0","-3.0","1.0","0.0","101","584.0","1117.0","a","1.0","4.0"
"0.0","11.0","-5.0","0.0","1.0","101","581.0","1081.0","a","0.0","3.0"
"0.0","13.0","-4.0","1.0","0.0","101","581.0","908.0","l","0.0","4.5"
"0.0","15.0","-10.0","0.0","0.0","101","577.0","974.0","a","0.0","2.5"
"0.0","19.0","-4.0","1.0","1.0","101","577.0","906.0","a","1.0","7.5"
"0.0","11.0","-8.0","0.0","0.0","101","596.0","1146.0","l","1.0","1.5"
"0.0","19.0","-2.0","1.0","0.0","101","596.0","1008.0","a","1.0","8.5"
"0.0","12.0","-5.0","0.0","1.0","101","594.0","1453.0","a","0.0","3.5"
"0.0","19.0","-3.0","1.0","1.0","101","594.0","698.0","a","1.0","8.0"
"0.0","11.0","-5.0","0.0","1.0","101","613.0","1212.0","a","0.0","3.0"
"6.0","10.0","0.0","1.0","0.0","102","613.0","787.0","a","1.0","-1.0"
"5.0","10.0","0.0","0.0","0.0","102","613.0","551.0","a","0.0","0.0"
"0.0","15.0","-2.0","1.0","1.0","101","618.0","1171.0","a","1.0","6.5"
"0.0","14.0","-10.0","0.0","0.0","101","633.0","1517.0","l","1.0","2.0"
"0.0","14.0","-3.0","1.0","1.0","101","633.0","1140.0","l","0.0","5.5"
"0.0","17.0","-4.0","1.0","1.0","101","647.0","1060.0","a","1.0","6.5"
"0.0","13.0","-2.0","1.0","0.0","101","664.0","1023.0","l","0.0","5.5"
"0.0","12.0","-8.0","0.0","0.0","101","662.0","945.0","l","1.0","2.0"
"3.0","12.0","0.0","1.0","1.0","102","662.0","840.0","a","1.0","3.0"
"0.0","19.0","-3.0","1.0","1.0","101","674.0","1714.0","a","1.0","8.0"
"6.0","12.0","0.0","1.0","0.0","102","693.0","1082.0","a","1.0","0.0"
"0.0","11.0","-10.0","0.0","1.0","101","693.0","963.0","a","0.0","0.5"
"0.0","17.0","-10.0","0.0","1.0","101","693.0","595.0","a","0.0","3.5"
"0.0","11.0","-3.0","1.0","1.0","101","693.0","1418.0","a","1.0","4.0"
"0.0","17.0","-8.0","0.0","0.0","101","704.0","2518.0","a","0.0","4.5"
"0.0","13.0","-4.0","1.0","0.0","101","704.0","1862.0","a","1.0","4.5"
"0.0","14.0","-2.0","1.0","0.0","101","700.0","1281.0","l","0.0","6.0"
"0.0","19.0","-5.0","1.0","0.0","101","698.0","1415.0","l","0.0","7.0"
"3.0","12.0","0.0","1.0","1.0","102","693.0","1168.0","l","0.0","3.0"
"0.0","14.0","-6.0","0.0","0.0","101","705.0","1075.0","l","1.0","4.0"
"0.0","17.0","-3.0","1.0","0.0","101","705.0","928.0","l","0.0","7.0"
"0.0","14.0","-10.0","0.0","0.0","101","702.0","1148.0","l","1.0","2.0"
"7.0","16.0","0.0","0.0","0.0","102","702.0","718.0","a","0.0","1.0"
"7.0","16.0","0.0","1.0","1.0","102","709.0","1197.0","l","0.0","1.0"
"0.0","19.0","-6.0","0.0","1.0","101","725.0","1334.0","l","1.0","6.5"
"0.0","12.0","-10.0","0.0","0.0","101","725.0","1593.0","a","0.0","1.0"
"0.0","17.0","-4.0","0.0","0.0","101","725.0","938.0","a","0.0","6.5"
