"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","14.0","-3.0","1.0","1.0","101","150.0","1743.0","l","0.0","5.5"
"0.0","8.0","-3.0","1.0","0.0","101","164.0","1300.0","a","1.0","2.5"
"0.0","11.0","-3.0","1.0","1.0","101","161.0","900.0","l","0.0","4.0"
"0.0","12.0","-8.0","1.0","0.0","101","172.0","1477.0","a","1.0","2.0"
"0.0","11.0","-2.0","1.0","1.0","101","164.0","1004.0","l","0.0","4.5"
"0.0","9.0","-2.0","1.0","1.0","101","175.0","1260.0","l","0.0","3.5"
"0.0","14.0","-4.0","1.0","0.0","101","184.0","1157.0","l","0.0","5.0"
"7.0","12.0","0.0","0.0","1.0","102","180.0","1140.0","a","0.0","-1.0"
"4.0","10.0","0.0","1.0","0.0","102","187.0","932.0","l","0.0","1.0"
"0.0","11.0","-2.0","1.0","0.0","101","187.0","941.0","a","1.0","4.5"
"3.0","8.0","0.0","1.0","1.0","102","185.0","955.0","l","0.0","1.0"
"5.0","6.0","0.0","0.0","0.0","102","193.0","1220.0","a","0.0","-2.0"
"0.0","16.0","-3.0","1.0","1.0","101","198.0","1102.0","a","1.0","6.5"
"6.0","6.0","0.0","0.0","0.0","102","214.0","1114.0","l","1.0","-3.0"
"0.0","10.0","-2.0","1.0","0.0","101","220.0","1005.0","a","1.0","4.0"
"0.0","16.0","-6.0","1.0","0.0","101","218.0","997.0","a","1.0","5.0"
"4.0","8.0","0.0","0.0","0.0","102","212.0","1198.0","l","1.0","0.0"
"3.0","10.0","0.0","1.0","0.0","102","216.0","1245.0","l","0.0","2.0"
"4.0","14.0","0.0","1.0","1.0","102","216.0","1158.0","l","0.0","3.0"
"7.0","12.0","0.0","0.0","0.0","102","230.0","1165.0","l","1.0","-1.0"
"0.0","16.0","-8.0","1.0","0.0","101","237.0","917.0","a","1.0","4.0"
"0.0","11.0","-10.0","0.0","1.0","101","229.0","2627.0","l","1.0","0.5"
"0.0","9.0","-8.0","1.0","0.0","101","229.0","1276.0","a","1.0","0.5"
"0.0","9.0","-4.0","1.0","1.0","101","221.0","1061.0","a","1.0","2.5"
"5.0","10.0","0.0","1.0","1.0","102","230.0","1260.0","l","0.0","0.0"
"0.0","16.0","-4.0","1.0","0.0","101","240.0","956.0","a","1.0","6.0"
"7.0","14.0","0.0","1.0","1.0","102","236.0","1021.0","a","1.0","0.0"
"0.0","16.0","-4.0","1.0","1.0","101","250.0","1061.0","a","1.0","6.0"
"0.0","11.0","-10.0","1.0","0.0","101","266.0","1524.0","l","0.0","0.5"
"7.0","6.0","0.0","0.0","1.0","102","256.0","1437.0","l","1.0","-4.0"
"4.0","12.0","0.0","1.0","1.0","102","263.0","996.0","a","1.0","2.0"
"0.0","8.0","-6.0","1.0","1.0","101","275.0","1046.0","a","1.0","1.0"
"0.0","9.0","-3.0","1.0","1.0","101","283.0","853.0","l","0.0","3.0"
"4.0","8.0","0.0","1.0","0.0","102","292.0","990.0","a","1.0","0.0"
"0.0","8.0","-4.0","1.0","1.0","101","292.0","955.0","a","1.0","2.0"
"0.0","8.0","-8.0","1.0","0.0","101","300.0","1843.0","a","1.0","0.0"
"0.0","14.0","-6.0","1.0","0.0","101","292.0","1077.0","a","1.0","4.0"
"0.0","16.0","-8.0","1.0","0.0","101","286.0","1069.0","a","1.0","4.0"
"6.0","6.0","0.0","0.0","0.0","102","278.0","1005.0","l","1.0","-3.0"
"3.0","14.0","0.0","1.0","0.0","102","284.0","997.0","l","0.0","4.0"
"0.0","10.0","-3.0","1.0","1.0","101","284.0","793.0","a","1.0","3.5"
"0.0","9.0","-3.0","1.0","1.0","101","294.0","905.0","l","0.0","3.0"
"0.0","8.0","-8.0","1.0","0.0","101","303.0","1171.0","l","0.0","0.0"
"3.0","10.0","0.0","1.0","0.0","102","295.0","1260.0","a","1.0","2.0"
"6.0","10.0","0.0","0.0","1.0","102","295.0","1197.0","l","1.0","-1.0"
"6.0","10.0","0.0","0.0","0.0","102","301.0","1107.0","a","0.0","-1.0"
"0.0","12.0","-5.0","1.0","0.0","101","307.0","995.0","l","0.0","3.5"
"4.0","10.0","0.0","1.0","1.0","102","302.0","1004.0","a","1.0","1.0"
"0.0","8.0","-5.0","1.0","1.0","101","312.0","1002.0","a","1.0","1.5"
"0.0","12.0","-10.0","1.0","1.0","101","320.0","1117.0","a","1.0","1.0"
"0.0","10.0","-8.0","1.0","1.0","101","332.0","1284.0","a","1.0","1.0"
"0.0","14.0","-2.0","1.0","0.0","101","342.0","1278.0","a","1.0","6.0"
"0.0","11.0","-3.0","1.0","1.0","101","340.0","921.0","l","0.0","4.0"
"0.0","14.0","-3.0","1.0","1.0","101","351.0","815.0","a","1.0","5.5"
"0.0","12.0","-4.0","1.0","0.0","101","365.0","831.0","l","0.0","4.0"
"0.0","8.0","-3.0","1.0","0.0","101","361.0","1140.0","a","1.0","2.5"
"0.0","8.0","-2.0","1.0","0.0","101","358.0","1179.0","l","0.0","3.0"
"7.0","10.0","0.0","0.0","0.0","102","356.0","998.0","l","1.0","-2.0"
"0.0","12.0","-6.0","1.0","1.0","101","363.0","756.0","l","0.0","3.0"
"0.0","10.0","-10.0","1.0","0.0","101","375.0","1156.0","l","0.0","0.0"
"0.0","14.0","-8.0","1.0","0.0","101","365.0","846.0","a","1.0","3.0"
"0.0","16.0","-3.0","1.0","0.0","101","357.0","894.0","a","1.0","6.5"
"0.0","11.0","-4.0","1.0","1.0","101","354.0","836.0","a","1.0","3.5"
"5.0","8.0","0.0","0.0","1.0","102","365.0","1083.0","a","0.0","-1.0"
"5.0","6.0","0.0","0.0","1.0","102","370.0","1092.0","l","1.0","-2.0"
"0.0","11.0","-4.0","1.0","1.0","101","375.0","1109.0","l","0.0","3.5"
"0.0","10.0","-6.0","1.0","0.0","101","386.0","930.0","l","0.0","2.0"
"0.0","9.0","-5.0","1.0","0.0","101","380.0","917.0","l","0.0","2.0"
"0.0","14.0","-5.0","1.0","1.0","101","375.0","1069.0","l","0.0","4.5"
"0.0","14.0","-2.0","1.0","0.0","101","389.0","981.0","a","1.0","6.0"
"0.0","11.0","-5.0","1.0","1.0","101","387.0","848.0","l","0.0","3.0"
"0.0","14.0","-10.0","1.0","1.0","101","398.0","906.0","l","0.0","2.0"
"0.0","16.0","-10.0","1.0","1.0","101","412.0","1140.0","l","0.0","3.0"
"7.0","8.0","0.0","0.0","1.0","102","428.0","909.0","l","1.0","-3.0"
"6.0","12.0","0.0","1.0","0.0","102","435.0","1415.0","l","0.0","0.0"
"0.0","16.0","-5.0","1.0","1.0","101","435.0","907.0","a","1.0","5.5"
"0.0","12.0","-3.0","1.0","0.0","101","451.0","963.0","l","0.0","4.5"
"0.0","8.0","-2.0","1.0","0.0","101","448.0","948.0","l","0.0","3.0"
"5.0","12.0","0.0","1.0","1.0","102","446.0","995.0","l","0.0","1.0"
"0.0","16.0","-10.0","1.0","0.0","101","458.0","822.0","l","0.0","3.0"
"0.0","8.0","-10.0","0.0","1.0","101","448.0","2177.0","a","0.0","-1.0"
"7.0","10.0","0.0","0.0","1.0","102","448.0","1013.0","a","0.0","-2.0"
"3.0","12.0","0.0","1.0","0.0","102","455.0","805.0","l","0.0","3.0"
"0.0","9.0","-6.0","1.0","0.0","101","455.0","941.0","a","1.0","1.5"
"0.0","14.0","-6.0","1.0","1.0","101","449.0","972.0","a","1.0","4.0"
"0.0","12.0","-3.0","1.0","1.0","101","463.0","981.0","a","1.0","4.5"
"6.0","8.0","0.0","0.0","0.0","102","475.0","1068.0","a","0.0","-2.0"
"4.0","14.0","0.0","1.0","0.0","102","481.0","813.0","a","1.0","3.0"
