"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"7.0","8.0","0.0","1.0","1.0","102","150.0","2288.0","l","0.0","-3.0"
"0.0","9.0","-8.0","0.0","0.0","101","158.0","1441.0","l","1.0","0.5"
"0.0","12.0","-2.0","1.0","0.0","101","158.0","1364.0","a","1.0","5.0"
"0.0","10.0","-8.0","0.0","1.0","101","156.0","1573.0","l","1.0","1.0"
"0.0","12.0","-10.0","1.0","1.0","101","156.0","861.0","a","1.0","1.0"
"0.0","15.0","-5.0","1.0","0.0","101","168.0","1640.0","a","1.0","5.0"
"0.0","15.0","-2.0","1.0","1.0","101","163.0","1131.0","l","0.0","6.5"
"0.0","12.0","-5.0","1.0","1.0","101","178.0","1304.0","l","0.0","3.5"
"0.0","11.0","-6.0","0.0","1.0","101","190.0","1573.0","a","0.0","2.5"
"0.0","15.0","-10.0","0.0","1.0","101","190.0","1465.0","l","1.0","2.5"
"0.0","17.0","-6.0","1.0","1.0","101","190.0","1557.0","l","0.0","5.5"
"0.0","13.0","-5.0","1.0","1.0","101","207.0","1877.0","a","1.0","4.0"
"5.0","8.0","0.0","0.0","0.0","102","220.0","1737.0","l","1.0","-1.0"
"5.0","16.0","0.0","1.0","0.0","102","225.0","1109.0","l","0.0","3.0"
"0.0","17.0","-4.0","1.0","0.0","101","225.0","980.0","a","1.0","6.5"
"0.0","12.0","-3.0","1.0","0.0","101","221.0","1256.0","a","1.0","4.5"
"7.0","12.0","0.0","0.0","1.0","102","218.0","1084.0","l","1.0","-1.0"
"6.0","14.0","0.0","1.0","0.0","102","225.0","924.0","l","0.0","1.0"
"3.0","12.0","0.0","1.0","0.0","102","225.0","1046.0","a","1.0","3.0"
"0.0","10.0","-2.0","1.0","1.0","101","225.0","1172.0","a","1.0","4.0"
"0.0","10.0","-2.0","1.0","0.0","101","235.0","1024.0","l","0.0","4.0"
"5.0","12.0","0.0","1.0","1.0","102","233.0","1302.0","l","0.0","1.0"
"0.0","10.0","-10.0","0.0","1.0","101","245.0","1541.0","l","1.0","0.0"
"0.0","11.0","-3.0","1.0","1.0","101","245.0","1437.0","l","0.0","4.0"
"0.0","10.0","-3.0","1.0","0.0","101","256.0","1173.0","l","0.0","3.5"
"0.0","13.0","-8.0","0.0","1.0","101","253.0","1346.0","a","0.0","2.5"
"0.0","9.0","-4.0","0.0","1.0","101","253.0","1766.0","l","1.0","2.5"
"0.0","12.0","-4.0","1.0","1.0","101","253.0","911.0","l","0.0","4.0"
"7.0","12.0","0.0","1.0","1.0","102","265.0","1069.0","l","0.0","-1.0"
"0.0","17.0","-8.0","1.0","1.0","101","277.0","1206.0","a","1.0","4.5"
"0.0","17.0","-5.0","0.0","1.0","101","294.0","1673.0","l","1.0","6.0"
"7.0","16.0","0.0","1.0","0.0","102","294.0","1707.0","a","1.0","1.0"
"0.0","12.0","-8.0","1.0","1.0","101","294.0","1351.0","a","1.0","2.0"
"0.0","10.0","-6.0","0.0","1.0","101","306.0","1531.0","l","1.0","2.0"
"0.0","15.0","-4.0","1.0","1.0","101","306.0","1170.0","l","0.0","5.5"
"5.0","10.0","0.0","1.0","1.0","102","321.0","1046.0","a","1.0","0.0"
"6.0","14.0","0.0","0.0","1.0","102","331.0","960.0","l","1.0","1.0"
"0.0","10.0","-5.0","0.0","0.0","101","337.0","1934.0","a","0.0","2.5"
"0.0","17.0","-4.0","1.0","0.0","101","337.0","1339.0","l","0.0","6.5"
"0.0","11.0","-2.0","1.0","1.0","101","333.0","995.0","a","1.0","4.5"
"0.0","9.0","-10.0","0.0","1.0","101","344.0","1779.0","l","1.0","-0.5"
"0.0","11.0","-8.0","0.0","1.0","101","344.0","1206.0","l","1.0","1.5"
"0.0","17.0","-3.0","1.0","0.0","101","344.0","1241.0","a","1.0","7.0"
"0.0","13.0","-2.0","1.0","1.0","101","341.0","1474.0","a","1.0","5.5"
"0.0","10.0","-3.0","1.0","1.0","101","354.0","2234.0","l","0.0","3.5"
"3.0","12.0","0.0","1.0","1.0","102","364.0","1133.0","a","1.0","3.0"
"0.0","13.0","-2.0","1.0","1.0","101","376.0","1313.0","a","1.0","5.5"
"0.0","13.0","-10.0","0.0","0.0","101","389.0","1288.0","l","1.0","1.5"
"5.0","8.0","0.0","1.0","0.0","102","389.0","1281.0","a","1.0","-1.0"
"0.0","15.0","-10.0","0.0","1.0","101","389.0","1806.0","l","1.0","2.5"
"6.0","10.0","0.0","1.0","0.0","102","389.0","1041.0","l","0.0","-1.0"
"0.0","10.0","-4.0","1.0","0.0","101","389.0","1096.0","a","1.0","3.0"
"0.0","9.0","-10.0","0.0","1.0","101","385.0","1278.0","a","0.0","-0.5"
"3.0","16.0","0.0","1.0","1.0","102","385.0","1111.0","a","1.0","5.0"
"0.0","15.0","-2.0","1.0","1.0","101","401.0","1332.0","l","0.0","6.5"
"3.0","10.0","0.0","1.0","0.0","102","416.0","1280.0","l","0.0","2.0"
"4.0","16.0","0.0","1.0","1.0","102","416.0","1124.0","a","1.0","4.0"
"5.0","10.0","0.0","0.0","1.0","102","432.0","1785.0","l","1.0","0.0"
"4.0","12.0","0.0","1.0","0.0","102","437.0","933.0","l","0.0","2.0"
"0.0","17.0","-2.0","1.0","1.0","101","437.0","1087.0","l","0.0","7.5"
"0.0","9.0","-4.0","0.0","0.0","101","454.0","1774.0","a","0.0","2.5"
"0.0","15.0","-4.0","0.0","1.0","101","454.0","2030.0","a","0.0","5.5"
"7.0","14.0","0.0","1.0","1.0","102","454.0","1241.0","a","1.0","0.0"
"0.0","17.0","-5.0","1.0","0.0","101","468.0","1077.0","l","0.0","6.0"
"4.0","8.0","0.0","1.0","1.0","102","463.0","1043.0","l","0.0","0.0"
"6.0","8.0","0.0","0.0","0.0","102","471.0","2251.0","a","0.0","-2.0"
"0.0","12.0","-3.0","1.0","1.0","101","477.0","1417.0","a","1.0","4.5"
"0.0","9.0","-2.0","0.0","0.0","101","489.0","2116.0","l","1.0","3.5"
"0.0","9.0","-3.0","1.0","0.0","101","489.0","1148.0","l","0.0","3.0"
"0.0","12.0","-2.0","1.0","0.0","101","486.0","1116.0","l","0.0","5.0"
"4.0","10.0","0.0","1.0","0.0","102","484.0","845.0","l","0.0","1.0"
"0.0","11.0","-4.0","0.0","0.0","101","484.0","1686.0","l","1.0","3.5"
"0.0","9.0","-3.0","0.0","1.0","101","484.0","1400.0","a","0.0","3.0"
"0.0","13.0","-5.0","0.0","0.0","101","484.0","1368.0","a","0.0","4.0"
"6.0","8.0","0.0","1.0","0.0","102","484.0","989.0","l","0.0","-2.0"
"0.0","9.0","-6.0","0.0","0.0","101","484.0","1655.0","a","0.0","1.5"
"0.0","17.0","-3.0","1.0","1.0","101","484.0","1727.0","l","0.0","7.0"
"6.0","10.0","0.0","0.0","0.0","102","501.0","1328.0","l","1.0","-1.0"
"0.0","11.0","-10.0","0.0","1.0","101","507.0","1343.0","l","1.0","0.5"
"5.0","16.0","0.0","1.0","0.0","102","507.0","936.0","l","0.0","3.0"
"0.0","10.0","-5.0","0.0","0.0","101","507.0","1289.0","a","0.0","2.5"
"4.0","8.0","0.0","1.0","0.0","102","507.0","1116.0","a","1.0","0.0"
"4.0","10.0","0.0","0.0","1.0","102","507.0","1032.0","l","1.0","1.0"
"7.0","10.0","0.0","0.0","1.0","102","511.0","1855.0","l","1.0","-2.0"
"0.0","9.0","-8.0","0.0","1.0","101","518.0","1477.0","l","1.0","0.5"
"0.0","11.0","-10.0","0.0","0.0","101","518.0","1140.0","a","0.0","0.5"
"0.0","13.0","-6.0","1.0","0.0","101","518.0","2575.0","l","0.0","3.5"
"0.0","9.0","-5.0","0.0","1.0","101","512.0","1180.0","a","0.0","2.0"
"4.0","14.0","0.0","1.0","1.0","102","512.0","993.0","l","0.0","3.0"
"3.0","8.0","0.0","1.0","1.0","102","526.0","1586.0","a","1.0","1.0"
"4.0","12.0","0.0","1.0","1.0","102","534.0","916.0","l","0.0","2.0"
"0.0","13.0","-3.0","1.0","1.0","101","546.0","1538.0","a","1.0","5.0"
"0.0","15.0","-6.0","0.0","1.0","101","559.0","2298.0","l","1.0","4.5"
"0.0","12.0","-6.0","0.0","0.0","101","559.0","1225.0","a","0.0","3.0"
"0.0","10.0","-6.0","0.0","0.0","101","559.0","1325.0","a","0.0","2.0"
