"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","16.0","-5.0","1.0","1.0","101","150.0","1480.0","l","0.0","5.5"
"0.0","13.0","-10.0","0.0","0.0","101","166.0","1394.0","a","0.0","1.5"
"3.0","14.0","0.0","1.0","1.0","102","166.0","1179.0","a","1.0","4.0"
"0.0","18.0","-2.0","1.0","1.0","101","180.0","1240.0","a","1.0","8.0"
"0.0","13.0","-4.0","1.0","1.0","101","198.0","1773.0","l","0.0","4.5"
"0.0","16.0","-10.0","0.0","1.0","101","211.0","1379.0","l","1.0","3.0"
"0.0","20.0","-10.0","0.0","1.0","101","211.0","1298.0","l","1.0","5.0"
"4.0","8.0","0.0","1.0","0.0","102","211.0","1466.0","a","1.0","0.0"
"0.0","13.0","-6.0","0.0","0.0","101","211.0","1337.0","l","1.0","3.5"
"0.0","13.0","-2.0","1.0","1.0","101","211.0","1035.0","a","1.0","5.5"
"3.0","6.0","0.0","1.0","0.0","102","224.0","1349.0","a","1.0","0.0"
"0.0","15.0","-5.0","1.0","1.0","101","224.0","1730.0","a","1.0","5.0"
"0.0","20.0","-5.0","1.0","1.0","101","239.0","1720.0","a","1.0","7.5"
"7.0","14.0","0.0","1.0","0.0","102","259.0","1415.0","l","0.0","0.0"
"3.0","6.0","0.0","1.0","1.0","102","259.0","1710.0","a","1.0","0.0"
"5.0","6.0","0.0","1.0","1.0","102","265.0","1446.0","l","0.0","-2.0"
"0.0","18.0","-3.0","1.0","0.0","101","271.0","1566.0","a","1.0","7.5"
"0.0","18.0","-2.0","1.0","0.0","101","268.0","1496.0","a","1.0","8.0"
"4.0","14.0","0.0","1.0","0.0","102","266.0","1504.0","a","1.0","3.0"
"0.0","18.0","-5.0","0.0","0.0","101","266.0","2101.0","a","0.0","6.5"
"0.0","13.0","-3.0","1.0","0.0","101","266.0","1195.0","l","0.0","5.0"
"7.0","6.0","0.0","0.0","0.0","102","263.0","1272.0","l","1.0","-4.0"
