"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","9.0","-10.0","1.0","1.0","101","150.0","1646.0","a","1.0","-0.5"
"0.0","11.0","-4.0","1.0","0.0","101","159.0","963.0","a","1.0","3.5"
"0.0","11.0","-6.0","1.0","0.0","101","155.0","1003.0","a","1.0","2.5"
"0.0","10.0","-2.0","1.0","1.0","101","149.0","1177.0","l","0.0","4.0"
"6.0","18.0","0.0","1.0","0.0","102","159.0","1311.0","l","0.0","3.0"
"0.0","10.0","-4.0","1.0","1.0","101","159.0","1470.0","l","0.0","3.0"
"3.0","22.0","0.0","1.0","1.0","102","169.0","1660.0","a","1.0","8.0"
"0.0","13.0","-4.0","1.0","1.0","101","191.0","1316.0","l","0.0","4.5"
"0.0","13.0","-5.0","1.0","1.0","101","204.0","1000.0","l","0.0","4.0"
"0.0","17.0","-3.0","1.0","0.0","101","217.0","1060.0","l","0.0","7.0"
"0.0","9.0","-5.0","0.0","0.0","101","214.0","1155.0","l","1.0","2.0"
"0.0","13.0","-3.0","1.0","0.0","101","214.0","995.0","l","0.0","5.0"
"0.0","9.0","-2.0","1.0","1.0","101","211.0","1005.0","l","0.0","3.5"
"0.0","15.0","-5.0","1.0","0.0","101","220.0","1066.0","l","0.0","5.0"
"0.0","17.0","-4.0","1.0","1.0","101","215.0","1127.0","l","0.0","6.5"
"0.0","9.0","-4.0","0.0","1.0","101","232.0","1310.0","l","1.0","2.5"
"0.0","17.0","-2.0","1.0","1.0","101","232.0","1054.0","a","1.0","7.5"
"0.0","10.0","-4.0","1.0","0.0","101","249.0","1467.0","a","1.0","3.0"
"0.0","12.0","-4.0","1.0","0.0","101","245.0","884.0","a","1.0","4.0"
"0.0","13.0","-8.0","1.0","1.0","101","241.0","872.0","l","0.0","2.5"
"0.0","9.0","-5.0","0.0","1.0","101","254.0","1508.0","l","1.0","2.0"
"0.0","13.0","-2.0","1.0","1.0","101","254.0","760.0","l","0.0","5.5"
"6.0","26.0","0.0","1.0","1.0","102","267.0","1423.0","l","0.0","7.0"
"0.0","9.0","-2.0","1.0","1.0","101","293.0","1405.0","a","1.0","3.5"
"5.0","22.0","0.0","1.0","0.0","102","302.0","1057.0","l","0.0","6.0"
"0.0","13.0","-6.0","1.0","1.0","101","302.0","818.0","a","1.0","3.5"
"0.0","15.0","-10.0","0.0","0.0","101","315.0","1386.0","a","0.0","2.5"
"5.0","24.0","0.0","1.0","1.0","102","315.0","1211.0","l","0.0","7.0"
"0.0","15.0","-3.0","1.0","1.0","101","339.0","1247.0","l","0.0","6.0"
"0.0","11.0","-2.0","1.0","0.0","101","354.0","856.0","l","0.0","4.5"
"7.0","26.0","0.0","1.0","0.0","102","352.0","1286.0","a","1.0","6.0"
"7.0","20.0","0.0","0.0","0.0","102","352.0","1249.0","l","1.0","3.0"
"0.0","10.0","-10.0","0.0","1.0","101","359.0","1193.0","a","0.0","0.0"
"0.0","12.0","-8.0","0.0","1.0","101","359.0","1209.0","a","0.0","2.0"
"3.0","24.0","0.0","1.0","0.0","102","359.0","845.0","l","0.0","9.0"
"0.0","11.0","-8.0","0.0","1.0","101","359.0","1652.0","a","0.0","1.5"
"0.0","11.0","-8.0","1.0","0.0","101","359.0","806.0","a","1.0","1.5"
"5.0","26.0","0.0","1.0","1.0","102","351.0","1145.0","l","0.0","8.0"
"3.0","20.0","0.0","1.0","1.0","102","377.0","1236.0","l","0.0","7.0"
"0.0","12.0","-8.0","1.0","1.0","101","397.0","1657.0","a","1.0","2.0"
"0.0","15.0","-4.0","1.0","0.0","101","409.0","1222.0","a","1.0","5.5"
"0.0","11.0","-10.0","1.0","0.0","101","405.0","953.0","a","1.0","0.5"
"6.0","18.0","0.0","1.0","1.0","102","395.0","1223.0","a","1.0","3.0"
"0.0","10.0","-8.0","0.0","1.0","101","413.0","1328.0","a","0.0","1.0"
"4.0","26.0","0.0","1.0","1.0","102","413.0","1143.0","a","1.0","9.0"
"0.0","12.0","-5.0","1.0","1.0","101","439.0","1059.0","l","0.0","3.5"
"4.0","18.0","0.0","1.0","0.0","102","451.0","1107.0","a","1.0","5.0"
"0.0","15.0","-6.0","1.0","0.0","101","451.0","966.0","a","1.0","4.5"
"4.0","24.0","0.0","0.0","0.0","102","445.0","1294.0","l","1.0","8.0"
"0.0","17.0","-6.0","1.0","0.0","101","449.0","1377.0","l","0.0","5.5"
"0.0","13.0","-4.0","1.0","1.0","101","443.0","798.0","a","1.0","4.5"
"0.0","17.0","-8.0","1.0","0.0","101","456.0","1247.0","a","1.0","4.5"
"0.0","17.0","-5.0","1.0","1.0","101","448.0","734.0","l","0.0","6.0"
"3.0","22.0","0.0","1.0","1.0","102","465.0","1033.0","l","0.0","8.0"
"3.0","26.0","0.0","1.0","0.0","102","487.0","910.0","a","1.0","10.0"
"0.0","10.0","-6.0","1.0","1.0","101","487.0","752.0","l","0.0","2.0"
"0.0","11.0","-10.0","1.0","1.0","101","497.0","901.0","a","1.0","0.5"
"0.0","9.0","-4.0","1.0","1.0","101","508.0","907.0","a","1.0","2.5"
"5.0","26.0","0.0","1.0","0.0","102","517.0","832.0","l","0.0","8.0"
"0.0","11.0","-4.0","1.0","1.0","101","517.0","734.0","a","1.0","3.5"
"0.0","12.0","-6.0","0.0","1.0","101","528.0","1193.0","a","0.0","3.0"
"0.0","9.0","-6.0","1.0","1.0","101","528.0","1231.0","a","1.0","1.5"
"0.0","12.0","-5.0","1.0","1.0","101","537.0","646.0","a","1.0","3.5"
"0.0","10.0","-3.0","1.0","1.0","101","549.0","1261.0","a","1.0","3.5"
"0.0","17.0","-6.0","1.0","0.0","101","559.0","1000.0","a","1.0","5.5"
"0.0","12.0","-3.0","1.0","0.0","101","553.0","1046.0","l","0.0","4.5"
