"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"5.0","12.0","0.0","1.0","1.0","102","150.0","2812.0","l","0.0","1.0"
"0.0","13.0","-8.0","0.0","1.0","101","162.0","1099.0","a","0.0","2.5"
"0.0","13.0","-10.0","0.0","1.0","101","162.0","1121.0","a","0.0","1.5"
"0.0","16.0","-10.0","0.0","1.0","101","162.0","1283.0","l","1.0","3.0"
"0.0","14.0","-3.0","1.0","0.0","101","162.0","1142.0","a","1.0","5.5"
"0.0","13.0","-5.0","1.0","0.0","101","159.0","1528.0","l","0.0","4.0"
"7.0","12.0","0.0","1.0","1.0","102","154.0","1182.0","a","1.0","-1.0"
"0.0","16.0","-6.0","1.0","0.0","101","166.0","1091.0","l","0.0","5.0"
"0.0","11.0","-6.0","1.0","0.0","101","160.0","1064.0","l","0.0","2.5"
"0.0","12.0","-6.0","1.0","1.0","101","154.0","1133.0","a","1.0","3.0"
"0.0","16.0","-2.0","1.0","1.0","101","166.0","928.0","a","1.0","7.0"
"0.0","13.0","-3.0","1.0","0.0","101","182.0","1841.0","a","1.0","5.0"
"6.0","6.0","0.0","1.0","0.0","102","179.0","1314.0","a","1.0","-3.0"
"0.0","10.0","-10.0","0.0","0.0","101","179.0","2086.0","l","1.0","0.0"
"4.0","6.0","0.0","1.0","0.0","102","179.0","1203.0","a","1.0","-1.0"
"0.0","10.0","-3.0","1.0","0.0","101","179.0","862.0","a","1.0","3.5"
"0.0","18.0","-2.0","1.0","0.0","101","176.0","966.0","l","0.0","8.0"
"6.0","14.0","0.0","0.0","0.0","102","174.0","300.0","l","1.0","1.0"
"0.0","14.0","-8.0","1.0","1.0","101","180.0","1522.0","l","0.0","3.0"
"0.0","18.0","-10.0","0.0","0.0","101","194.0","1176.0","a","0.0","4.0"
"0.0","10.0","-4.0","1.0","1.0","101","194.0","1127.0","a","1.0","3.0"
"0.0","12.0","-10.0","0.0","0.0","101","204.0","1072.0","a","0.0","1.0"
"0.0","12.0","-3.0","1.0","1.0","101","204.0","995.0","l","0.0","4.5"
"0.0","12.0","-4.0","1.0","0.0","101","216.0","739.0","a","1.0","4.0"
"4.0","10.0","0.0","1.0","0.0","102","212.0","1090.0","a","1.0","1.0"
"5.0","14.0","0.0","1.0","0.0","102","212.0","1109.0","l","0.0","2.0"
"4.0","8.0","0.0","1.0","1.0","102","212.0","2054.0","l","0.0","0.0"
"0.0","18.0","-4.0","1.0","0.0","101","220.0","972.0","a","1.0","7.0"
"0.0","12.0","-2.0","1.0","1.0","101","216.0","1114.0","a","1.0","5.0"
"0.0","13.0","-2.0","1.0","0.0","101","228.0","1013.0","l","0.0","5.5"
"0.0","13.0","-6.0","1.0","1.0","101","226.0","554.0","l","0.0","3.5"
"7.0","8.0","0.0","0.0","0.0","102","239.0","2427.0","a","0.0","-3.0"
"0.0","18.0","-5.0","1.0","1.0","101","246.0","2748.0","l","0.0","6.5"
"7.0","8.0","0.0","1.0","0.0","102","264.0","974.0","l","0.0","-3.0"
"0.0","14.0","-10.0","0.0","1.0","101","264.0","955.0","a","0.0","2.0"
"0.0","16.0","-2.0","1.0","0.0","101","264.0","981.0","l","0.0","7.0"
"4.0","12.0","0.0","1.0","0.0","102","262.0","1161.0","l","0.0","2.0"
"0.0","13.0","-5.0","0.0","0.0","101","262.0","387.0","l","1.0","4.0"
"0.0","16.0","-6.0","1.0","1.0","101","262.0","1597.0","a","1.0","5.0"
"0.0","18.0","-5.0","1.0","0.0","101","278.0","1078.0","l","0.0","6.5"
"5.0","10.0","0.0","1.0","1.0","102","273.0","1093.0","a","1.0","0.0"
"0.0","10.0","-5.0","0.0","1.0","101","283.0","1264.0","a","0.0","2.5"
