"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","16.0","-4.0","1.0","1.0","101","150.0","2144.0","a","1.0","6.0"
"0.0","16.0","-3.0","1.0","0.0","101","166.0","1685.0","a","1.0","6.5"
"0.0","16.0","-10.0","1.0","1.0","101","163.0","984.0","l","0.0","3.0"
"0.0","8.0","-6.0","1.0","1.0","101","179.0","784.0","l","0.0","1.0"
"5.0","14.0","0.0","1.0","0.0","102","187.0","816.0","a","1.0","2.0"
"3.0","12.0","0.0","1.0","1.0","102","187.0","1026.0","l","0.0","3.0"
"0.0","9.0","-8.0","1.0","0.0","101","199.0","1180.0","l","0.0","0.5"
"0.0","10.0","-5.0","1.0","1.0","101","191.0","662.0","l","0.0","2.5"
"7.0","8.0","0.0","0.0","1.0","102","201.0","1422.0","l","1.0","-3.0"
"5.0","12.0","0.0","1.0","0.0","102","208.0","1048.0","a","1.0","1.0"
"7.0","10.0","0.0","0.0","0.0","102","208.0","1284.0","a","0.0","-2.0"
"7.0","12.0","0.0","0.0","0.0","102","215.0","1104.0","l","1.0","-1.0"
"0.0","16.0","-2.0","1.0","0.0","101","222.0","874.0","a","1.0","7.0"
"5.0","16.0","0.0","1.0","1.0","102","220.0","1146.0","a","1.0","3.0"
"0.0","14.0","-5.0","1.0","1.0","101","236.0","812.0","a","1.0","4.5"
"0.0","14.0","-6.0","1.0","0.0","101","250.0","798.0","l","0.0","4.0"
"0.0","10.0","-6.0","1.0","1.0","101","244.0","1130.0","a","1.0","2.0"
"0.0","11.0","-4.0","1.0","1.0","101","254.0","781.0","a","1.0","3.5"
"0.0","8.0","-10.0","0.0","1.0","101","265.0","1334.0","a","0.0","-1.0"
"4.0","8.0","0.0","0.0","1.0","102","265.0","992.0","l","1.0","0.0"
"0.0","9.0","-5.0","1.0","1.0","101","269.0","936.0","l","0.0","2.0"
"3.0","14.0","0.0","1.0","0.0","102","278.0","892.0","a","1.0","4.0"
"7.0","12.0","0.0","0.0","1.0","102","278.0","1086.0","l","1.0","-1.0"
"0.0","12.0","-3.0","1.0","0.0","101","285.0","940.0","l","0.0","4.5"
