"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"5.0","16.0","0.0","0.0","0.0","102","150.0","1049.0","a","0.0","3.0"
"5.0","10.0","0.0","0.0","0.0","102","155.0","938.0","a","0.0","0.0"
"5.0","14.0","0.0","0.0","1.0","102","160.0","789.0","a","0.0","2.0"
"0.0","16.0","-10.0","0.0","1.0","101","165.0","1268.0","a","0.0","3.0"
"7.0","16.0","0.0","0.0","0.0","102","165.0","1270.0","a","0.0","1.0"
"0.0","19.0","-3.0","1.0","0.0","101","172.0","1136.0","a","1.0","8.0"
"0.0","13.0","-4.0","1.0","0.0","101","169.0","1118.0","a","1.0","4.5"
"4.0","18.0","0.0","1.0","0.0","102","165.0","1635.0","l","0.0","5.0"
"4.0","16.0","0.0","1.0","1.0","102","165.0","1146.0","a","1.0","4.0"
"0.0","17.0","-5.0","0.0","0.0","101","181.0","1138.0","a","0.0","6.0"
"3.0","18.0","0.0","1.0","1.0","102","181.0","1248.0","l","0.0","6.0"
"5.0","18.0","0.0","1.0","0.0","102","199.0","1358.0","a","1.0","4.0"
"0.0","14.0","-6.0","0.0","0.0","101","199.0","1112.0","l","1.0","4.0"
"0.0","19.0","-8.0","0.0","0.0","101","199.0","1152.0","a","0.0","5.5"
"0.0","21.0","-10.0","0.0","0.0","101","199.0","1141.0","a","0.0","5.5"
"0.0","17.0","-8.0","0.0","1.0","101","199.0","1063.0","a","0.0","4.5"
"0.0","14.0","-3.0","1.0","0.0","101","199.0","1437.0","a","1.0","5.5"
"7.0","10.0","0.0","0.0","0.0","102","196.0","782.0","l","1.0","-2.0"
"0.0","17.0","-10.0","0.0","1.0","101","203.0","1591.0","a","0.0","3.5"
"0.0","19.0","-6.0","0.0","0.0","101","203.0","1738.0","l","1.0","6.5"
"0.0","14.0","-8.0","0.0","0.0","101","203.0","966.0","l","1.0","3.0"
"4.0","14.0","0.0","1.0","1.0","102","203.0","1076.0","a","1.0","3.0"
"0.0","17.0","-8.0","0.0","1.0","101","217.0","988.0","a","0.0","4.5"
"6.0","16.0","0.0","1.0","0.0","102","217.0","764.0","a","1.0","2.0"
"0.0","17.0","-3.0","1.0","0.0","101","217.0","1164.0","a","1.0","7.0"
"0.0","14.0","-5.0","1.0","1.0","101","214.0","1104.0","l","0.0","4.5"
"3.0","10.0","0.0","1.0","0.0","102","228.0","777.0","a","1.0","2.0"
"0.0","19.0","-3.0","1.0","0.0","101","228.0","1115.0","l","0.0","8.0"
"3.0","10.0","0.0","1.0","0.0","102","225.0","790.0","a","1.0","2.0"
"0.0","14.0","-5.0","1.0","0.0","101","225.0","1149.0","l","0.0","4.5"
"0.0","17.0","-10.0","0.0","0.0","101","220.0","1128.0","l","1.0","3.5"
"4.0","12.0","0.0","1.0","0.0","102","220.0","616.0","a","1.0","2.0"
"6.0","12.0","0.0","1.0","1.0","102","220.0","598.0","a","1.0","0.0"
"0.0","19.0","-4.0","1.0","1.0","101","232.0","1479.0","l","0.0","7.5"
"5.0","12.0","0.0","0.0","0.0","102","251.0","709.0","a","0.0","1.0"
"0.0","15.0","-2.0","1.0","1.0","101","256.0","1188.0","a","1.0","6.5"
"5.0","10.0","0.0","0.0","0.0","102","271.0","1381.0","l","1.0","0.0"
"6.0","10.0","0.0","0.0","0.0","102","276.0","803.0","a","0.0","-1.0"
"3.0","12.0","0.0","0.0","1.0","102","282.0","1162.0","a","0.0","3.0"
"0.0","14.0","-2.0","1.0","0.0","101","285.0","1098.0","l","0.0","6.0"
