"safe","gain","loss","gamble","win","trial_type","money","rt","response","left","EV"
"0.0","16.0","-5.0","1.0","1.0","101","150.0","2217.0","a","1.0","5.5"
"0.0","18.0","-6.0","1.0","0.0","101","166.0","1424.0","l","0.0","6.0"
"0.0","10.0","-5.0","1.0","1.0","101","160.0","1805.0","l","0.0","2.5"
"3.0","14.0","0.0","1.0","1.0","102","170.0","1477.0","l","0.0","4.0"
"4.0","12.0","0.0","1.0","1.0","102","184.0","1257.0","a","1.0","2.0"
"0.0","11.0","-5.0","1.0","1.0","101","196.0","1564.0","a","1.0","3.0"
"0.0","14.0","-4.0","1.0","0.0","101","207.0","1421.0","l","0.0","5.0"
"3.0","14.0","0.0","1.0","0.0","102","203.0","1492.0","l","0.0","4.0"
"7.0","20.0","0.0","0.0","0.0","102","203.0","1196.0","a","0.0","3.0"
"0.0","12.0","-5.0","1.0","0.0","101","210.0","1572.0","a","1.0","3.5"
"0.0","12.0","-3.0","1.0","1.0","101","205.0","1114.0","a","1.0","4.5"
"5.0","14.0","0.0","1.0","1.0","102","217.0","3382.0","l","0.0","2.0"
"5.0","18.0","0.0","1.0","1.0","102","231.0","1194.0","l","0.0","4.0"
"0.0","10.0","-6.0","0.0","1.0","101","249.0","1488.0","l","1.0","2.0"
"0.0","18.0","-2.0","1.0","0.0","101","249.0","1332.0","l","0.0","8.0"
"3.0","12.0","0.0","1.0","0.0","102","247.0","1346.0","a","1.0","3.0"
"5.0","12.0","0.0","0.0","0.0","102","247.0","1814.0","l","1.0","1.0"
"0.0","11.0","-8.0","0.0","0.0","101","252.0","1741.0","a","0.0","1.5"
"0.0","12.0","-5.0","1.0","0.0","101","252.0","2347.0","l","0.0","3.5"
"3.0","16.0","0.0","1.0","1.0","102","247.0","1726.0","a","1.0","5.0"
"0.0","12.0","-4.0","1.0","0.0","101","263.0","1484.0","a","1.0","4.0"
"4.0","16.0","0.0","1.0","1.0","102","259.0","1233.0","l","0.0","4.0"
"0.0","14.0","-2.0","1.0","1.0","101","275.0","1960.0","a","1.0","6.0"
"3.0","20.0","0.0","1.0","0.0","102","289.0","1536.0","a","1.0","7.0"
